date,temp_avg,temp_max,temp_min,precip_sum,station,de_martonne,aridity_class,aridity_code,spi3,dm_lag1,dm_lag2,dm_lag3,precip_roll3,temp_roll3,dm_roll3,dm_roll12,month,year,year_trend,month_sin,month_cos,wet_season
2015-01-01,3.62,20.67,-17.31,18.6,Ammik,16.387665198237887,Semi-arid,2,,,,,,,,,1,2015,0,0.49999999999999994,0.8660254037844387,1
2015-02-01,6.28,25.03,-4.62,16.4,Ammik,12.088452088452087,Semi-arid,2,-0.3723900750402952,16.387665198237887,,,17.5,4.95,14.238058643344987,,2,2015,0,0.8660254037844386,0.5000000000000001,1
2015-03-01,11.26,27.88,-2.0,22.2,Ammik,12.53057384760113,Semi-arid,2,-0.33849041584641376,12.088452088452087,16.387665198237887,,19.066666666666666,7.053333333333334,13.668897044763701,,3,2015,0,1.0,6.123233995736766e-17,1
2015-04-01,12.67,32.18,-1.02,44.0,Ammik,23.290692545213936,Sub-humid,3,-0.299704319291252,12.53057384760113,12.088452088452087,16.387665198237887,27.53333333333333,10.07,15.969906160422383,,4,2015,0,0.8660254037844387,-0.4999999999999998,1
2015-05-01,18.29,36.53,4.48,6.0,Ammik,2.545068928950159,Hyper-arid,0,-0.3155852407154127,23.290692545213936,12.53057384760113,12.088452088452087,24.066666666666663,14.073333333333332,12.788778440588409,,5,2015,0,0.49999999999999994,-0.8660254037844387,1
2015-06-01,20.43,35.09,6.04,0.0,Ammik,0.0,Hyper-arid,0,-0.3494848999092942,2.545068928950159,23.290692545213936,12.53057384760113,16.666666666666668,17.13,8.611920491388032,11.140408768075867,6,2015,0,1.2246467991473532e-16,-1.0,0
2015-07-01,24.38,39.56,8.44,7.0,Ammik,2.443280977312391,Hyper-arid,0,-0.4059843318990967,0.0,2.545068928950159,23.290692545213936,4.333333333333336,21.03333333333333,1.662783302087517,9.897961940823942,7,2015,0,-0.4999999999999997,-0.8660254037844388,0
2015-08-01,25.03,42.19,1.76,0.0,Ammik,0.0,Hyper-arid,0,-0.4151464019514971,2.443280977312391,0.0,2.545068928950159,2.3333333333333357,23.28,0.8144269924374637,8.660716698220948,8,2015,0,-0.8660254037844385,-0.5000000000000004,0
2015-09-01,23.91,40.92,9.45,0.0,Ammik,0.0,Hyper-arid,0,-0.4151464019514971,0.0,2.443280977312391,0.0,2.3333333333333357,24.439999999999998,0.8144269924374637,7.698414842863065,9,2015,0,-1.0,-1.8369701987210297e-16,0
2015-10-01,18.21,34.65,5.63,36.0,Ammik,15.313718539524992,Semi-arid,2,-0.37086306336489516,0.0,0.0,2.443280977312391,12.000000000000002,22.383333333333336,5.10457284650833,8.45994521252926,10,2015,0,-0.8660254037844386,0.5000000000000001,1
2015-11-01,11.98,24.87,-1.5,21.6,Ammik,11.792538671519566,Semi-arid,2,-0.33787961117625365,15.313718539524992,0.0,0.0,19.200000000000003,18.033333333333335,9.035419070348185,8.76290825425565,11,2015,0,-0.5000000000000004,0.8660254037844384,1
2015-12-01,6.39,19.33,-6.83,72.8,Ammik,53.30079316656497,Humid,4,-0.2267131612071288,11.792538671519566,15.313718539524992,0.0,43.46666666666667,12.193333333333333,26.80235012586984,12.474398663614759,12,2015,0,-2.4492935982947064e-16,1.0,1
2016-01-01,5.06,19.07,-8.7,204.8,Ammik,163.18725099601596,Humid,4,0.031046409600402575,53.30079316656497,11.792538671519566,15.313718539524992,99.73333333333335,7.81,76.09352761136684,24.70769748009626,1,2016,1,0.49999999999999994,0.8660254037844387,1
